"gene_ID","gene_name","difference","logpval","significant"
"NUTM1","NUTM1",-2.46924992441885,1.98646033820815,"+"
"NUTM2A","NUTM2A",-0.329806900474062,1.25845412697026,NA
"NUTM2B","NUTM2B",-0.785800788955591,1.5680157956849,NA
"NUTM2D","NUTM2D",-0.278184950834644,1.21912961340464,NA
"NUTM2E","NUTM2E",-0.682556889676754,1.5051131169678,NA
"NUTM2F","NUTM2F",-2.65279463424789,1.99201715762256,"+"
"NUTM2G","NUTM2G",-0.593652420853312,1.44725538794771,NA
"NVL","NVL",0.14339430455394,0.88597878080078,NA
"NWD1","NWD1",-0.249506089923855,1.19703066924073,NA
"NWD2","NWD2",-1.31349182971409,1.81098272777885,NA
"NXF1","NXF1",0.544898357304972,0.58582342613068,NA
"NXF2","NXF2",-2.65279463424789,1.99201715762256,"+"
"NXF2B","NXF2B",-2.65279463424789,1.99201715762256,"+"
"NXF3","NXF3",-1.57733735009334,1.88528207740303,NA
"NXN","NXN",0.613727623490863,0.539395331298139,NA
"NXNL1","NXNL1",-2.46924992441885,1.98646033820815,"+"
"NXNL2","NXNL2",-1.13281500597613,1.74270805156505,NA
"NXPE1","NXPE1",-1.27334142443899,1.7971030867934,NA
"NXPE2","NXPE2",-0.180676823737965,1.14337874864722,NA
"NXPE3","NXPE3",0.642406484401651,0.520609290533134,NA
"NXPE4","NXPE4",-0.556369901669287,1.42204198981102,NA
"NXPH1","NXPH1",-1.54865848918255,1.87853616235497,NA
"NXPH2","NXPH2",-2.46924992441885,1.98646033820815,"+"
"NXPH3","NXPH3",-0.163469507191492,1.12985122007903,NA
"NXPH4","NXPH4",-1.67197759109894,1.90547125901435,NA
"NXT1","NXT1",-0.35848576138485,1.2800201784135,NA
"NXT2","NXT2",-0.324071128291905,1.25411581533264,NA
"NYAP1","NYAP1",-1.35364223498919,1.82414945449245,NA
"NYAP2","NYAP2",-0.805875991593143,1.57968564428357,NA
"NYNRIN","NYNRIN",0.275317064743565,0.783072655117447,NA
"OAF","OAF",0.289656495198959,0.772079041869648,NA
"OARD1","OARD1",-0.0487540635483396,1.0388847094136,NA
"OAS1","OAS1",0.195016254193358,0.845380222914893,NA
"OAS2","OAS2",0.315467470018668,0.752406746184574,NA
"OAS3","OAS3",0.352749989202693,0.724275879331173,NA
"OASL","OASL",-0.585048762580075,1.44148507066245,NA
"OAT","OAT",0.785800788955591,0.431984204315102,NA
"OAZ1","OAZ1",1.20738004434417,0.227285817137186,NA
"OAZ2","OAZ2",0.473201205028002,0.636069638139041,NA
"OAZ3","OAZ3",-1.19304061388878,1.76714653253128,NA
"OBP2A","OBP2A",-1.99318083329977,1.95375835089029,"+"
"OBP2B","OBP2B",-2.46924992441885,1.98646033820815,"+"
"OBSCN","OBSCN",1.62609141364168,0.103930210339598,NA
"OBSL1","OBSL1",0.504747952029869,0.613735876599281,NA
"OCA2","OCA2",-1.17870118343339,1.76148281575367,NA
"OCEL1","OCEL1",-0.447390230208293,1.34540667139738,NA
"OCIAD1","OCIAD1",0.725575181042936,0.46809924061385,NA
"OCIAD2","OCIAD2",-0.301128039563274,1.23668313970973,NA
"OCLN","OCLN",0.0458861774572608,0.963400971363993,NA
"OCM","OCM",-2.46924992441885,1.98646033820815,"+"
"OCRL","OCRL",0.258109748197092,0.796322208451837,NA
"OCSTAMP","OCSTAMP",-2.16238611267342,1.96941157289611,"+"
"ODAM","ODAM",-1.09266460070102,1.72545891234968,NA
"ODAPH","ODAPH",-0.891912574325507,1.6275602057212,NA
"ODC1","ODC1",0.834554852503931,0.403968390995113,NA
"ODF2","ODF2",0.303995925654353,0.761130995218339,NA
"ODF2L","ODF2L",0.975081270966792,0.329519948114762,NA
"ODF4","ODF4",-2.65279463424789,1.99201715762256,"+"
"ODR4","ODR4",0.387164622295638,0.698634339035088,NA
"OFD1","OFD1",0.349882103111614,0.726427178812681,NA
"OGDH","OGDH",1.10413614506534,0.269534084032939,NA
"OGDHL","OGDHL",-0.943534523964925,1.65459243494661,NA
"OGFOD1","OGFOD1",0.447390230208293,0.654593328602623,NA
"OGFOD2","OGFOD2",-0.283920723016801,1.22352886494319,NA
"OGFOD3","OGFOD3",0.134790646280704,0.892777401530893,NA
"OGFR","OGFR",0.246638203832777,0.805188235325498,NA
"OGFRL1","OGFRL1",0.800140219410985,0.423629560965711,NA
"OGG1","OGG1",-0.174941051555807,1.13887404684584,NA
"OGN","OGN",0.530558926849578,0.59572446440791,NA
"OGT","OGT",1.22458736089065,0.220730732405511,NA
"OIP5","OIP5",-1.05824996760808,1.71005850372172,NA
"OIT3","OIT3",-1.67197759109894,1.90547125901435,NA
"OLA1","OLA1",0.519087382485263,0.603699806700871,NA
"OLAH","OLAH",-1.19304061388878,1.76714653253128,NA
"OLFM1","OLFM1",0.083168696641285,0.933717402942998,NA
"OLFM2","OLFM2",-1.0152316762419,1.69000459560635,NA
"OLFM3","OLFM3",-2.16238611267342,1.96941157289611,"+"
"OLFM4","OLFM4",-0.986552815331107,1.67613808863925,NA
"OLFML1","OLFML1",0.212223570739831,0.831932618747402,NA
"OLFML2A","OLFML2A",0.324071128291905,0.745884184667357,NA
"OLFML2B","OLFML2B",0.562105673851445,0.574044022831255,NA
"OLFML3","OLFML3",0.682556889676755,0.494886883032199,NA
"OLIG1","OLIG1",-1.82397555392612,1.93184423190358,NA
"OLIG2","OLIG2",-2.29144098677196,1.97806207867526,"+"
"OLR1","OLR1",-0.438786571935056,1.3391838089811,NA
"OMA1","OMA1",0.226563001195225,0.820763564924341,NA
"OMD","OMD",0.395768280568875,0.692275978682961,NA
"OMG","OMG",-0.719839408860779,1.52837612235612,NA
"OMP","OMP",-2.46924992441885,1.98646033820815,"+"
"ONECUT1","ONECUT1",-2.16238611267342,1.96941157289611,"+"
"ONECUT2","ONECUT2",-1.92721945320495,1.94604771337,NA
"OOEP","OOEP",-2.46924992441885,1.98646033820815,"+"
"OOSP1","OOSP1",-2.65279463424789,1.99201715762256,"+"
"OPA1","OPA1",0.891912574325507,0.372439794278805,NA
"OPA3","OPA3",0.298260153472195,0.765504613891329,NA
"OPCML","OPCML",-1.68918490764541,1.90881599967548,NA
"OPHN1","OPHN1",0.986552815331107,0.323861911360753,NA
"OPLAH","OPLAH",0.0774329244591275,0.938279149470548,NA
"OPN1SW","OPN1SW",-2.03619912466595,1.95826963586679,"+"
"OPN3","OPN3",-0.324071128291905,1.25411581533264,NA
"OPN4","OPN4",-1.31922760189625,1.81290696682039,NA
"OPN5","OPN5",-1.82397555392612,1.93184423190358,NA
"OPRD1","OPRD1",-2.65279463424789,1.99201715762256,"+"
"OPRK1","OPRK1",-1.59167678054873,1.88854265183786,NA
